Event,Type,Net,Length,Maturity,Board number,Comment,Dorsal,Lateral,,,,,,,,,Col5,Bin,Frequency,Col8
81,RMT8,2,56,FA2,NO_BOARD,,,,,,,,,,,,20,20,0,0
81,RMT8,2,35,J,NO_BOARD,,,,,,,,,,,,21,21,0,0
81,RMT8,2,38,MS1,NO_BOARD,,,,,,,,,,,,22,22,0,0
81,RMT8,2,38,MS1,NO_BOARD,,,,,,,,,,,,23,23,0,0
81,RMT8,2,42,MS1,NO_BOARD,,,,,,,,,,,,24,24,0,0
81,RMT8,2,36,J,NO_BOARD,,,,,,,,,,,,25,25,0,0
81,RMT8,2,38,MS1,NO_BOARD,,,,,,,,,,,,26,26,2,0.002178649
81,RMT8,2,43,MS1,NO_BOARD,,,,,,,,,,,,27,27,5,0.005446623
81,RMT8,2,35,MS1,NO_BOARD,,,,,,,,,,,,28,28,4,0.004357298
81,RMT8,2,34,MS1,NO_BOARD,,,,,,,,,,,,29,29,11,0.011982571
81,RMT8,2,26,J,NO_BOARD,,,,,,,,,,,,30,30,13,0.01416122
81,RMT8,2,36,MS1,NO_BOARD,,,,,,,,,,,,31,31,21,0.022875817
81,RMT8,2,32,J,NO_BOARD,,,,,,,,,,,,32,32,37,0.040305011
81,RMT8,2,29,J,NO_BOARD,,,,,,,,,,,,33,33,51,0.055555556
81,RMT8,2,34,J,NO_BOARD,,,,,,,,,,,,34,34,51,0.055555556
81,RMT8,2,51,FA2,NO_BOARD,,,,,,,,,,,,35,35,57,0.062091503
81,RMT8,2,31,J,NO_BOARD,,,,,,,,,,,,36,36,75,0.081699346
81,RMT8,2,40,U,NO_BOARD,,,,,,,,,,,,37,37,64,0.069716776
81,RMT8,2,38,MS1,NO_BOARD,,,,,,,,,,,,38,38,81,0.088235294
81,RMT8,2,33,J,NO_BOARD,,,,,,,,,,,,39,39,60,0.065359477
104,RMT8,1,44,MS2,1,,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg,,,,,,,,,40,40,63,0.068627451
104,RMT8,1,38,FS1,1,,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg,,,,,,,,,41,41,59,0.064270153
104,RMT8,1,33,J,1,,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg,,,,,,,,,42,42,50,0.054466231
104,RMT8,1,42,MS1,1,,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg,,,,,,,,,43,43,39,0.04248366
104,RMT8,1,34,J,1,,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg,,,,,,,,,44,44,35,0.038126362
104,RMT8,1,35,J,1,,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg,,,,,,,,,45,45,34,0.037037037
104,RMT8,1,37,MS1,1,,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg,,,,,,,,,46,46,13,0.01416122
104,RMT8,1,35,J,1,,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg,,,,,,,,,47,47,16,0.017429194
