Event,Type,Net,Length,Maturity,Board,Dorsal,Lateral
104,RMT8,1,44,MS2,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,38,FS1,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,33,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,42,MS1,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,34,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,35,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,37,MS1,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,35,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,34,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,37,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,43,MS1,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,33,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,35,MS1,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,33,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,36,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,40,MS2,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,33,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,44,MS1,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,33,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,43,MS2,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,36,MS1,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,33,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,36,J,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,38,MS1,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,35,MS1,1,JR291_Event104_Net1_Board1_Dorsal.jpg,JR291_Event104_Net1_Board1_Lateral.jpg
104,RMT8,1,35,MS1,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
104,RMT8,1,31,J,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
104,RMT8,1,37,MS1,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
104,RMT8,1,28,J,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
104,RMT8,1,41,MS1,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
104,RMT8,1,36,MS1,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
104,RMT8,1,39,MS1,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
104,RMT8,1,39,MS1,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
104,RMT8,1,37,MS1,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
104,RMT8,1,45,MS1,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
104,RMT8,1,31,J,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
104,RMT8,1,32,J,2,JR291_Event104_Net1_Board2_Dorsal.jpg,JR291_Event104_Net1_Board2_Lateral.jpg
